date,window,R_t,turnover
2013-04-01,2013,-0.0020607972278871506,0.5675944444493901
2013-04-02,2013,0.0007112201236528711,0.6611197802888565
2013-04-03,2013,-0.005772916701756965,0.5337639028887342
2013-04-04,2013,0.0023275000644851235,0.6119824412290968
2013-04-05,2013,-0.0016279838671025928,0.5916053235729136
2013-04-08,2013,0.004864629557585072,0.7763414297983837
2013-04-09,2013,0.00048193557526144055,1.2746987570203174
2013-04-10,2013,0.004597745959664489,0.614542099644962
2013-04-11,2013,0.0022329733510971584,0.7540349227749088
2013-04-12,2013,-0.00013749866690395725,1.3246440959247032
2013-04-15,2013,-0.02499655939072091,1.682561658870068
2013-04-16,2013,0.0035364468388995366,1.350888219255734
2013-04-17,2013,-0.006131764869687332,0.4502875502656239
2013-04-18,2013,-0.00048028786857344334,0.41703578045476786
2013-04-19,2013,0.003373980100069553,0.48844660393307465
2013-04-22,2013,0.0013477757427009737,0.474333067653075
2013-04-23,2013,0.0037545009986312923,0.5254762144560112
2013-04-24,2013,0.001140111319332416,0.6195720029357775
2013-04-25,2013,0.00483122723642712,1.2706056907254553
2013-04-26,2013,-0.001016988995170848,1.1367176035347657
2013-04-29,2013,0.005808852651186613,0.6991727877814631
2013-04-30,2013,0.00028563613664700743,0.9818255830064458
2013-05-01,2013,-0.009474684404355536,1.1992380005162553
2013-05-02,2013,0.004509811569771543,0.6727154319129574
2013-05-03,2013,0.003480096260715676,0.583738047976291
2013-05-06,2013,0.0027919824245236867,1.113212410415421
2013-05-07,2013,0.0029480393011192692,0.8628507112940422
2013-05-08,2013,0.003737045977737697,1.0766793313842657
2013-05-09,2013,-0.0007694531641780184,1.205036135297782
2013-05-10,2013,0.0009479596792169575,0.47333569256632
2013-05-13,2013,-0.0006447912726419005,0.5941307434108676
2013-05-14,2013,0.004884197456706199,0.7621682448495705
2013-05-15,2013,0.0008363826310439996,0.5257777614072396
2013-05-16,2013,-0.0035204217355480336,1.153877400775971
2013-05-17,2013,0.0032297791227384022,0.9472466786553175
2013-05-20,2013,0.0035853300068761744,1.1058632665459762
2013-05-21,2013,0.00016182950881948456,1.3998635834985307
2013-05-22,2013,-0.004560198025072348,0.6796556313533914
2013-05-23,2013,-0.001859474616858042,0.953016623859859
2013-05-24,2013,-1.126414516659473e-05,1.7190662178053742
2013-05-28,2013,-0.0016657333567852723,1.6201722777853225
2013-05-29,2013,-0.0005232550224286323,1.5230407375040274
2013-05-30,2013,0.002452513963493828,1.6604176332880587
2013-05-31,2013,-0.003869911167922512,1.243097046217291
2013-06-03,2013,0.00515973959565294,1.304187317884922
2013-06-04,2013,-0.00032136579523589043,1.7122283436887327
2013-06-05,2013,-0.013197603768915479,1.7416056424858444
2013-06-06,2013,0.0007730021738334983,1.692027830202051
2013-06-07,2013,0.007057913560544393,1.394027802296538
2013-06-10,2013,6.939742948795794e-07,1.5618357189042396
2013-06-11,2013,-0.005753495983941675,1.1126762226620377
2013-06-12,2013,-0.0013122564953238942,0.8014289602060257
2013-06-13,2013,0.00866631342795147,0.8240307807690318
2013-06-14,2013,-0.00022426274271321648,1.075107689923585
2013-06-17,2013,0.005120700308524609,0.9772053829193675
2013-06-18,2013,0.0047168958891532125,0.6219429952630492
2013-06-19,2013,-0.010758599300388205,0.9441910165799902
2013-06-20,2013,-0.0011230438563964184,1.749841976176197
2013-06-21,2013,0.003099268511575063,1.40821548260915
2013-06-24,2013,-0.009783715000557535,0.5620889886440447
2013-06-25,2013,0.002201271028601818,0.9750640443362315
2013-06-26,2013,0.006811995578668011,1.0743122789256057
2013-06-27,2013,0.0026383181565857055,0.6763816801975856
2013-06-28,2013,-0.0010495093873954158,0.5257568176843475
2013-07-01,2013,0.005108639223728936,1.3607975449693719
2013-07-02,2013,-0.0005306849194636795,1.0830935309193042
2013-07-03,2013,0.0001989939225055431,0.38628602838179954
